Type,Year,Age,High,m
2,2020,57,9.2,0.884122
2,2020,57,9.2,0.871362
33,2020,50,21.9,0.881656
33,2020,50,21.9,0.87727
33,2020,50,21.9,0.907974
33,2020,59,9.39,1.38188
2,2020,35,0,1.14876
2,2020,35,0,1.14791
2,2020,35,0,1.14002
2,2020,35,0,1.15655
2,2020,35,0,1.09863
2,2020,35,0,1.09863
2,2020,35,0,1.09899
2,2020,35,0,1.09091
2,2020,35,0,1.10725
2,2020,35,0,1.12304
2,2020,35,0,1.0495
2,2020,35,0,1.04846
2,2020,35,0,1.04785
2,2020,35,0,1.04734
2,2020,35,0,1.04872
2,2020,35,0,1.04046
2,2020,35,0,1.05663
2,2020,35,0,1.07225
2,2020,35,0,1.03025
2,2020,42,13.3,0.65077
2,2020,44,9.5,0.716772
2,2020,44,9.5,0.743552
2,2020,44,9.5,0.727496
2,2020,44,9.5,0.759949
2,2020,44,9.5,0.743895
2,2020,51,10.8,1.22229
2,2020,51,10.8,1.21195
2,2020,51,10.8,1.22937
2,2020,51,10.8,1.21065
2,2020,51,10.8,1.22978
2,2020,51,10.8,1.2128
2,2020,51,10.8,1.2243
2,2020,51,0,1.18495
2,2020,51,0,1.16392
2,2020,51,10.8,1.2263
2,2020,51,0,1.18533
2,2020,51,0,1.1729
2,2020,51,0,1.16697
2,2020,51,0,1.16161
2,2020,55,10.8,1.18439
2,2020,55,10.8,1.19048
2,2020,55,10.8,1.27946
2,2020,55,0,1.16627
2,2020,55,0,1.16526
2,2020,55,0,1.16258
2,2020,55,10.8,1.17877
2,2020,55,10.8,1.17752
2,2020,55,10.8,1.2858
2,2020,55,10.8,1.34931
2,2020,55,10.8,1.42176
2,2020,55,0,1.16681
2,2020,55,0,1.1658
2,2020,55,0,1.16311
2,2020,55,10.8,1.16995
2,2020,55,10.8,1.18103
2,2020,55,10.8,1.18774
2,2020,55,10.8,1.20369
33,2020,55,0,1.17186
2,2020,55,10.8,1.17515
2,2020,55,10.8,1.18188
2,2020,55,10.8,1.1883
33,2020,55,10.8,1.15734
33,2020,55,10.8,1.16825
33,2020,55,0,1.20571
33,2020,55,10.8,1.16366
33,2020,55,0,1.20543
33,2020,55,0,1.18065
33,2020,55,10.8,1.17537
0,2020,47,0,1.15269
33,2020,55,0,1.24598
33,2020,55,0,1.23343
33,2020,55,0,1.20783
33,2020,55,0,1.20957
33,2020,55,10.8,1.21571
33,2020,55,10.8,1.21911
33,2020,55,0,1.23965
33,2020,55,0,1.24137
33,2020,55,0,1.24304
33,2020,55,10.8,1.24913
33,2020,55,10.8,1.23099
33,2020,55,0,1.28205
33,2020,55,0,1.27819
33,2020,55,0,1.27819
33,2020,55,10.8,1.28551
33,2020,55,0,1.33235
33,2020,55,0,1.39177
33,2020,55,0,1.39363
33,2020,55,0,1.39088
33,2020,55,10.8,1.39587
33,2020,55,10.8,1.39749
33,2020,55,0,1.46476
33,2020,55,0,1.46665
33,2020,55,0,1.52219
33,2020,55,0,1.51445
33,2020,55,10.8,1.51916
33,2020,35,0,2.73252
33,2020,35,0,2.77888
33,2020,35,0,2.80991
33,2020,35,0,2.76932
33,2020,35,0,2.80058
33,2020,35,0,2.82961
33,2020,35,0,2.86416
33,2020,35,0,2.75982
33,2020,35,0,2.79132
33,2020,35,0,2.8206
2,2020,47,0,0.567869
2,2020,47,0,0.549451
2,2020,47,0,0.549451
2,2020,47,14,0.549481
2,2020,47,14,0.547975
2,2020,47,14,0.547975
33,2020,26,10.4,14.0253
33,2020,26,10.4,13.8629
33,2020,26,10.4,13.7301
2,2020,46,10.9,0.736985
2,2020,44,0,0.217402
2,2020,54,0,0.965251
2,2020,37,0,1.34864
2,2020,37,0,1.34516
2,2020,48,9.39,1.10235
2,2020,48,9.39,1.11174
2,2020,48,9.39,1.12703
2,2020,48,9.39,1.14256
2,2020,44,0,0.792934
33,2020,18,14.5,0.583387
33,2020,18,14.5,0.596293
33,2020,18,11.2,0.634813
33,2020,18,11.2,0.635425
0,2020,50,9.39,0.21798
